"Year","Imports","GDP"
1960,34.1818122618189,112155598.949571
1961,35.7615888118942,123134584.467673
1962,37.7049074334869,124482748.937917
1963,38.4858050224403,129379097.888958
1964,40.8045902843848,142025069.461676
1965,37.6693766937669,150574816.300764
1966,42.5257731958763,157930041.875883
1967,46.8982382133995,163820538.867947
1968,39.6312253595841,191767436.956884
1969,37.5984582382905,188039191.323608
1970,41.5623499086838,189106554.521277
1971,37.4234623370213,201450768.367553
1972,33.8130870580973,230317908.038643
1973,36.4868833574321,271183061.359635
1974,43.3361131787586,281398668.160613
1975,39.9199700572728,378660016.265936
1976,29.3266108057826,451152449.984411
1977,34.3249061268158,507298120.68315
1978,33.885760267333,610578523.761178
1979,35.1329394686053,700764892.704831
1980,41.0807828634967,797048028.773247
1981,34.059743898938,694803502.722356
1982,34.2245066020111,748312283.726758
1983,36.6162611098767,658679394.907969
1984,35.5016773850403,637820620.670195
1985,31.6359752409631,864849765.059664
1986,28.6226318484383,1122265026.38274
1987,28.5502933989394,1200991825.95398
1988,25.0538821705756,1264899368.20165
1989,26.4631612106678,1233930277.04922
1990,25.8755146524582,1440711395.67069
1991,26.1226506625627,1377375030.52921
1992,26.3633760833559,1411917558.45855
1993,22.8890674752764,1278781166.72188
1994,25.0186213434453,851174350.649409
1995,28.2549461602709,1115389731.79119
1996,25.6140187532248,1007791186.20106
1997,28.9342280996326,937741468.029676
1998,28.3926453039603,967338348.658314
1999,23.9886936193025,999477510.686632
2000,25.2875684031294,914500299.097034
2001,22.5732458997066,931833302.752857
2002,20.1458598429982,991387870.12463
2003,17.9952221645791,1139754799.16304
2004,19.2460374099972,1270080250.65268
2005,21.7081835399254,1337362392.15225
2006,22.0798650802068,1460561215.4447
2007,23.4655715983662,1697565948.65323
2008,23.4338571075068,1985240986.18508
2009,23.2356028285423,1981732633.92013
2010,26.5097891580964,1986015906.25044
2011,22.027568726358,2195599556.73866
2012,21.7820986662381,2169706564.05899
2013,25.0049351134049,1518565298.35641
2014,37.5625159898757,1702899386.14322
2015,34.5786994354794,1583776805.96568
2016,30.0252921065853,1755468136.86556
2017,31.7747999104642,1949411659.20453
